 11 6901.879800 1.539E-29 7.325E-04.05270.250 2756.41420.41-.032880          2 0 0          0 0 0 14  3 12       13  6  7      444233603231712211    87.0   81.0
 11 6901.938500 3.418E-27 8.355E+00.07990.298 3253.73730.51-.008260          1 1 1          0 1 0  9  4  5       10  4  6      4742236033297122 7    19.0   21.0
 11 6901.951300 3.639E-26 1.440E+00.07500.391 2251.69530.67-.009640          2 1 0          0 1 0  4  3  1        5  4  2      4742236033287122 7     9.0   11.0
 11 6901.962900 1.546E-24 1.178E+01.06240.370 2105.86660.44-.021620          1 0 1          0 0 0 11  3  8       12  3  9      474523603329 322 9    23.0   25.0
 11 6902.128900 5.011E-29 4.719E-01.03280.265 3587.66550.44-.017200          2 1 0          0 1 0 12  1 11       12  2 10      4442336032297122 9    25.0   25.0
 11 6902.141600 1.068E-28 1.849E+01.09810.456 3750.46450.72-.006800          2 0 1          1 0 0  1  1  0        2  1  1      4442336032257122 7     3.0    5.0
 11 6902.228500 4.490E-29 1.614E+00.09950.434 3827.39270.71-.011120          3 0 0          1 0 0  3  0  3        3  1  2      4442336032257122 7    21.0   21.0
 11 6902.296700 2.051E-28 2.215E-03.08820.391 2251.86230.67-.013660          2 1 0          0 1 0  5  1  4        5  4  1      4442236032287122 7    33.0   33.0
 11 6902.359200 3.506E-28 5.672E-01.02820.221 3269.53860.37-.027660          2 0 0          0 0 0 15  4 12       15  5 11      4742236033297122 9    31.0   31.0
 11 6902.478660 4.328E-23 3.633E-02.08720.425  212.15640.71-.000219          1 2 0          0 0 0  3  3  0        3  2  1      578621303382622234    21.0   21.0
 11 6902.514900 2.567E-24 9.494E-01.04540.320 1690.66360.47-.008040          2 0 0          0 0 0 10  3  8       11  2  9      474423603328 322 8    63.0   69.0
 11 6902.530500 3.486E-28 9.147E-02.07970.333 2771.69000.57-.020780          1 1 1          0 1 0  8  2  7        8  4  4      4642236033287122 8    17.0   17.0
 11 6902.899300 1.328E-23 1.631E-02.05750.390  447.25230.63-.006179          1 2 0          0 0 0  7  0  7        6  1  6      576521303324 322 6    45.0   39.0
 11 6902.931445 2.285E-26 1.263E-04.08310.371  756.72470.63-.004076          1 2 0          0 0 0  7  3  4        6  4  3      4542234433257122 7    45.0   39.0
 11 6902.964500 3.145E-27 3.121E+00.05020.281 3314.85500.470.001704          1 3 0          0 1 0 10  5  6       11  2  9      4342236033287122 8    63.0   69.0
 11 6902.992400 2.009E-29 1.793E+00.08970.412 4066.12270.69-.009700          2 0 1          0 0 1  4  3  1        4  2  2      4442436032287122 7    27.0   27.0
 11 6902.995930 4.708E-24 7.795E+00.06000.372 1998.99480.47-.007819          1 0 1          0 0 0 10  5  5       11  5  6      575520303324 322 6    63.0   69.0
 11 6903.011900 2.540E-26 1.266E+00.07680.333 2630.19240.57-.013420          2 1 0          0 1 0  7  2  5        8  3  6      4742236033257122 7    45.0   51.0
 11 6903.013700 1.236E-29 9.258E-01.07890.434 4030.06980.71-.007076          0 2 2          0 0 1  4  3  2        3  3  1      4442336032257122 7    27.0   21.0
 11 6903.026000 3.073E-28 2.240E-02.03170.265 2813.51140.44-.022260          2 0 0          0 0 0 12  7  6       12  8  5      4542236033297122 9    75.0   75.0
 11 6903.093700 9.816E-29 6.173E-01.06880.281 3487.39830.47-.006324          0 3 1          0 1 0 11  4  7       11  4  8      4442336032297122 8    23.0   23.0
 11 6903.151500 5.788E-28 2.196E-01.04020.281 3135.76420.47-.022840          1 3 0          0 1 0 11  2  9       11  1 10      4542236033287122 8    69.0   69.0
 11 6903.233800 1.297E-28 2.141E-03.02800.315 2225.46880.55-.013200          2 0 0          0 0 0  9  8  2        9  9  1      4442336032297122 9    19.0   19.0
 11 6903.233800 3.781E-28 2.080E-03.02800.315 2225.46880.55-.013260          2 0 0          0 0 0  9  8  1        9  9  0      4442236033297122 9    57.0   57.0
